code,name,product_family,source_confidence,index_name_candidates,methodology_probe,source_url,next_action
403790,MIDAS 코스피액티브,domestic_broad_market,medium,KOSPI,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
152100,PLUS 200,foreign_or_global,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
491220,PLUS 200TR,foreign_or_global,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
253150,PLUS 200선물레버리지,foreign_or_global,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
253160,PLUS 200선물인버스2X,foreign_or_global,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
0203D0,PLUS 200위클리커버드콜채권혼합,foreign_or_global,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
301400,PLUS 코스닥150,foreign_or_global,medium,KOSDAQ 150,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
301410,PLUS 코스닥150선물인버스,foreign_or_global,medium,KOSDAQ 150,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
0166N0,PLUS 코스닥150액티브,foreign_or_global,medium,KOSDAQ 150,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
227830,PLUS 코스피,foreign_or_global,medium,KOSPI,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
122090,PLUS 코스피50,foreign_or_global,medium,KOSPI,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
328370,PLUS 코스피TR,foreign_or_global,medium,KOSPI,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
148020,RISE 200,domestic_broad_market,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
361580,RISE 200TR,domestic_broad_market,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
290080,RISE 200고배당커버드콜ATM,domestic_broad_market,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
252400,RISE 200선물레버리지,fixed_income_cash_commodity_or_derivative,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
252410,RISE 200선물인버스,fixed_income_cash_commodity_or_derivative,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
252420,RISE 200선물인버스2X,fixed_income_cash_commodity_or_derivative,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
475720,RISE 200위클리커버드콜,domestic_broad_market,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
183700,RISE 200채권혼합50,fixed_income_cash_commodity_or_derivative,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
292050,RISE KRX300,domestic_broad_market,medium,KRX 300,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
281990,RISE 중소형고배당,domestic_broad_market,low,KOSPI Small Cap,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
270810,RISE 코스닥150,domestic_broad_market,medium,KOSDAQ 150,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
278240,RISE 코스닥150선물레버리지,fixed_income_cash_commodity_or_derivative,medium,KOSDAQ 150,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
275750,RISE 코스닥150선물인버스,fixed_income_cash_commodity_or_derivative,medium,KOSDAQ 150,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
302450,RISE 코스피,domestic_broad_market,medium,KOSPI,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
411540,SOL 200 Top10,domestic_broad_market,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
295040,SOL 200TR,domestic_broad_market,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
0167B0,SOL 200타겟위클리커버드콜,domestic_broad_market,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
292500,SOL KRX300,domestic_broad_market,medium,KRX 300,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
404650,SOL KRX기후변화솔루션,domestic_group_or_theme,medium,KRX Climate Change Solutions,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
450910,SOL 코스닥150,domestic_broad_market,medium,KOSDAQ 150,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
0192T0,SOL 코스닥TOP10,domestic_broad_market,medium,KOSDAQ Top 10,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
0192S0,SOL 코스피200채권혼합50,fixed_income_cash_commodity_or_derivative,medium,KOSPI,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
102110,TIGER 200,domestic_broad_market,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
139260,TIGER 200 IT,domestic_broad_market,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
