code,name,product_family,coverage_provider,provider_status,source_candidate,source_kind,confidence,next_action
476760,ACE 미국30년국채액티브,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
453850,ACE 미국30년국채액티브(H),foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
476750,ACE 미국30년국채엔화노출액티브(H),foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
480030,ACE 미국500데일리타겟커버드콜(합성),foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
0118Z0,ACE 미국AI테크핵심산업액티브,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
280320,ACE 미국IT인터넷(합성 H),foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
360200,ACE 미국S&P500,foreign_or_global,,,sp_global,methodology_provider,medium,build_sp_global_methodology_probe
438080,ACE 미국S&P500미국채혼합50액티브,foreign_or_global,,,sp_global,methodology_provider,medium,build_sp_global_methodology_probe
0155M0,ACE 미국SMR원자력TOP10,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
309230,ACE 미국WideMoat동일가중,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
367380,ACE 미국나스닥100,foreign_or_global,,,nasdaq,methodology_provider,medium,build_nasdaq_methodology_probe
438100,ACE 미국나스닥100미국채혼합50액티브,foreign_or_global,,,nasdaq,methodology_provider,medium,build_nasdaq_methodology_probe
456880,ACE 미국달러SOFR금리(합성),foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
440650,ACE 미국달러단기채권액티브,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
0127M0,ACE 미국대형가치주액티브,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
0127P0,ACE 미국대형성장주액티브,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
480040,ACE 미국반도체데일리타겟커버드콜(합성),foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
402970,ACE 미국배당다우존스,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
0046Y0,ACE 미국배당퀄리티,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
0049M0,ACE 미국배당퀄리티+커버드콜액티브,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
0049K0,ACE 미국배당퀄리티채권혼합50,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
181480,ACE 미국부동산리츠(합성 H),foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
480020,ACE 미국빅테크7+데일리타겟커버드콜(합성),foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
465580,ACE 미국빅테크TOP7 Plus,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
465610,ACE 미국빅테크TOP7 Plus레버리지(합성),foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
465620,ACE 미국빅테크TOP7 Plus인버스(합성),foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
0180V0,ACE 미국우주테크액티브,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
473590,ACE 미국주식베스트셀러,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
0008E0,ACE 미국중심중소형제조업,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
391600,ACE 미국친환경그린테마,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
455660,ACE 미국하이일드액티브(H),foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
245710,ACE 베트남VN30(합성),foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
131890,ACE 삼성그룹동일가중,domestic_group_or_theme,,,issuer_or_domestic_index_provider,methodology_provider,low,research_issuer_or_domestic_index_provider_sources
108450,ACE 삼성그룹섹터가중,domestic_group_or_theme,,,issuer_or_domestic_index_provider,methodology_provider,low,research_issuer_or_domestic_index_provider_sources
0194M0,ACE 삼성전자단일종목레버리지,fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
316300,ACE 싱가포르리츠,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
277540,ACE 아시아TOP50,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
483420,ACE 애플밸류체인액티브,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
483320,ACE 엔비디아밸류체인액티브,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
448540,ACE 엔비디아채권혼합,fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
0099L0,ACE 우량회사채(AA-이상)액티브,fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
433500,ACE 원자력TOP10,domestic_group_or_theme,,,issuer_or_domestic_index_provider,methodology_provider,low,research_issuer_or_domestic_index_provider_sources
0102X0,ACE 유럽방산TOP10,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
